Type,Indicator,App
domain,talklog.tools,TalkLog
domain,tchsrvce.com,TalkLog
domain,xnspy.com,XNSpy
domain,sync.xiz4me.com,XNSpy
domain,www.cerberusapp.com,Cerberus
domain,www.mtoolapp.net,MobileTool
domain,mtoolapp.net,MobileTool
domain,mobiletool.ru,MobileTool
domain,sp.kuuvv.com,Cocospy
domain,cocospy.com,Cocospy
domain,i.minspy.com,Cocospy
domain,i.neatspy.com,Cocospy
domain,i.spyic.com,Cocospy
domain,i.spyier.com,Cocospy
domain,aovivo.foxspy.com.br,Espiao Android
domain,pc.foxspy.com.br,Espiao Android
domain,servidor.in,Meuspy
domain,n.servidor.in,Meuspy
domain,l.servidor.in,Meuspy
domain,celular007.s3.amazonaws.com,Espiao Android
domain,s1.spylive360.com,Spylive360
domain,s2.spylive360.com,Spylive360
domain,s3.spylive360.com,Spylive360
domain,spylive360.com,Spylive360
domain,senseye.spymasterpro.com,SpyMasterPro
domain,spymasterpro.com,SpyMasterPro
domain,www.spymasterpro.com,SpyMasterPro
ipv4,91.121.70.22,SpyMasterPro
domain,ikm.awsapi.io,iKeyMonitor
domain,emcpanel.com,iKeyMonitor
domain,users.easemon.com,iKeyMonitor
domain,ikeymonitor.com,iKeyMonitor
ipv4,172.67.82.183,iKeyMonitor
ipv4,104.25.170.109,iKeyMonitor
ipv4,104.25.169.109,iKeyMonitor
ipv4,104.26.15.56,iKeyMonitor
ipv4,172.67.73.2,iKeyMonitor
ipv4,104.26.14.56,iKeyMonitor
ipv4,172.67.194.85,iKeyMonitor
ipv4,104.18.54.129,iKeyMonitor
ipv4,104.18.55.129,iKeyMonitor
domain,spyhuman.com,SpyHuman
domain,apispyhuman.com,SpyHuman
ipv4,213.239.228.196,SpyHuman
domain,i.neatspy.com,NeatSpy
domain,i.safespy.com,SafeSpy
domain,i.spyier.com,Spyier
domain,i.spyine.com,Spyine
domain,i.minspy.com,MinSpy
domain,i.spyic.com,Spyic
domain,viptrack.pro,Spyic
domain,us.umobix.com,uMobix
domain,lb.theonespy.com,TheOneSpy
domain,im.theonespy.com,TheOneSpy
domain,node-api.theonespy.com,TheOneSpy
domain,node1.theonespy.com,TheOneSpy
domain,node2.theonespy.com,TheOneSpy
domain,node3.theonespy.com,TheOneSpy
domain,node4.theonespy.com,TheOneSpy
domain,node5.theonespy.com,TheOneSpy
ipv4,85.13.218.229,TheOneSpy
ipv4,85.13.206.195,TheOneSpy
domain,v4vw4ytvo4.execute-api.us-east-2.amazonaws.com,pcTattletale
domain,pctattletalev2.s3.amazonaws.com,pcTattletale
